(La/Yb)N,(La/Nd)N,(Gd/Yb)N,Eu/Eu*,YbN,REE+Y,LREE,Sr/Y,Mn,Sr,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,花岗岩类型
2.856647566,0.236300003,5.585277868,0.036453804,1686.831398,20938.16878,16630.89287,0.444055116,669,434.7299588,979,1142.027825,3405.313737,387,9563.953488,2108.072048,24.52577122,1936.102236,36,759.0361446,35.5,255.5786968,10.9,286.7613376,8.397495124,I型
5.09535646,0.438814377,5.668831251,0.036616731,1234.135432,16490.49514,13319.65695,0.166141238,1114,117.4618552,707,1490.341307,3292.255512,304,6720.930233,1494.329553,17.80034489,1437.699681,26.1,558.2329317,26.2,191.9071705,7.51,209.8030234,6.385381378,I型
2.170073806,0.21145526,5.487181988,0.022205979,1926.652475,21126.58921,15874.24131,0.21080135,407.3669312,274.88496,1304,990.8918026,2860.373092,358,9273.255814,2374.916611,16.80398544,2172.523962,44.9,987.9518072,47,345.1353764,14.2,327.5309208,9.105841289,I型
2.037458185,0.466320694,1.917098082,0.084499802,5092.829619,28331.65172,21315.07345,0.083259191,2851.568519,191.3296198,2298,2459.213292,5641.605427,504,10436.04651,2214.809873,59.39835217,2006.389776,50.5,1112.449799,64.4,559.3573341,28.8,865.7810353,30.90031824,I型
0.405633401,0.223304886,1.341141904,0.060150064,17272.50681,44255.65374,26708.21439,0.070555688,3258.93545,274.88496,3896,1660.494445,5063.877897,620,14715.11628,4556.370914,92.35485725,4760.383387,138,3698.795181,196,1734.602797,97.3,2936.326157,90.03182425,I型
2.186830293,0.321936468,3.020193208,0.063541405,1492.818841,11211.13897,8639.358595,0.248269461,1425.784259,178.0092032,717,773.6963267,1914.075749,195,4755.813953,980.6537692,20.1187967,926.5175719,18.8,433.7349398,22.7,181.1960726,8.3,253.7792029,9.752592136,I型
1.619992976,0.293373486,2.629543681,0.028963798,8892.242194,55920.63409,42160.72607,0.024179729,903,89.61007508,3706,3414.072665,9218.767665,952,23029.06977,5496.997999,49.81797279,4805.111821,103,2453.815261,123,961.0235049,47,1511.681173,49.276255,I型
0.41896325,0.158644045,2.04655216,0.004507385,22015.03597,79084.219,47032.05017,0.003396236,2362,32.69556793,9627,2185.967371,7743.357829,1016,27267.44186,8805.87058,13.41253114,9258.785942,243,6240.963855,309,2401.07111,122,3742.556115,107.7918078,I型
6.851233018,0.731927884,2.190097036,0.144072772,1320.363235,15144.17434,13411.08186,0.312502442,904,145.3136353,465,2143.929537,4299.604296,316,5796.511628,820.5470314,34.48936578,594.2492013,10,289.1566265,16,119.0121988,7,224.4617499,8.212709167,I型
0.146489069,0.078133283,2.910898952,0.058828952,5362.291504,18449.80502,8559.200574,0.045886584,2189,121.0946961,2639,186.1675508,868.2871679,139,4715.116279,2595.063376,55.56620042,3207.667732,92,2164.658635,98,720.0238024,32,911.5895557,25.66471615,I型
0.187703205,0.099902661,1.826192341,0.008763271,18269.51578,52336.45345,27182.41997,0.019497008,1511,155.0012109,7950,812.7314583,3313.736574,507,16098.83721,6430.953969,19.16075877,6856.230032,188,4678.714859,234,1948.824755,98,3105.817682,94.44615543,I型
0.191214443,0.104997047,2.481309601,0.004789727,12368.30051,39239.46435,19679.45116,0.012198613,5893,62.96924195,5162,560.504454,2339.174675,349,10563.95349,5857.238159,9.580379383,6306.709265,184,4120.481928,182,1371.615591,69,2102.611086,61.59531876,I型
0.242730565,0.140817352,1.979448121,0.004648196,17137.77586,50471.57955,25107.87016,0.005224376,3867,39.9612497,7649,985.8872986,4042.962125,531,13854.65116,5683.789193,9.580379383,6971.246006,201,5216.86747,252,1963.701279,101,2913.421896,95.47274407,I型
9.85907988,0.574273456,5.868867752,0.093940221,540.6014469,10076.22909,8698.061754,1.637261607,2230.333948,490.0798838,299.3290025,1263.170385,2073.300045,185.6673019,4352.789734,800.2421168,22.89217135,651.9936309,11.35045468,226.5271843,10.86078983,79.70994851,3.339576424,91.90224597,3.15449986,I型
5.926116307,0.322438448,6.95540878,0.17571209,432.8138831,7956.262846,6684.740798,3.998310484,2849.022475,1069.547578,267.4998808,607.8825823,1368.300778,147.2299047,3730.760533,788.9511235,41.61587664,618.6366827,10.9713604,217.0192191,9.703138519,69.01018832,2.813726912,73.57836013,2.289490793,I型
14.41253781,0.509096186,7.42592042,0.097361825,792.2179406,23811.41229,21358.07364,1.763749563,1323.942526,883.9912812,501.2,2706.035432,5854.607123,493,10518.60465,1737.158105,48.66832727,1208.945687,21.8,426.5060241,18.8,132.1035406,5.2,134.6770499,4.106354584,I型
5.033505822,0.38250098,3.51543708,0.146779981,772.4574024,10550.16857,9188.231498,0.907350987,2002.887412,319.6899976,352.3333333,921.4960131,2462.785001,225,4767.44186,778.2966422,33.21198186,558.0404686,10,207.4966533,10,84.30030745,4,131.3177584,4.448550799,I型
