(La/Yb)N,(La/Nd)N,(Gd/Yb)N,Eu/Eu*,YbN,REE+Y,LREE,Sr/Y,Mn,Sr,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,花岗岩类型
2.856647566,0.236300003,5.585277868,0.036453804,1686.831398,20938.16878,16630.89287,0.444055116,6.494278109,6.06449346,6.874917143,7.029229144,8.121050811,5.948066793,9.153913069,7.642820699,3.191570434,7.557736684,3.574671272,6.621593955,3.560644579,5.533743805,2.380755011,5.648906491,2.120079664,I型
5.09535646,0.438814377,5.668831251,0.036616731,1234.135432,16490.49514,13319.65695,0.166141238,7.00420647,4.755882051,6.549416166,7.295428827,8.087286631,5.706669801,8.801138456,7.298724538,2.871063816,7.260104281,3.253087648,6.314320873,3.256871293,5.2472252,2.008227688,5.336425304,1.84615742,I型
2.170073806,0.21145526,5.487181988,0.022205979,1926.652475,21126.58921,15874.24131,0.21080135,5.998208379,5.606121089,7.161577243,6.887273737,7.946665804,5.870175086,9.123046421,7.762009217,2.81346207,7.672949497,3.795590129,6.885178475,3.841259484,5.834150167,2.645234187,5.781838663,2.20106231,I型
2.037458185,0.466320694,1.917098082,0.084499802,5092.829619,28331.65172,21315.07345,0.083259191,7.944118529,5.243766105,7.728179959,7.796265167,8.625882411,6.212218368,9.241177707,7.692213455,4.076112468,7.593396865,3.91312567,7.003864446,4.156225515,6.317001939,3.352367609,6.753888228,3.422912685,I型
0.405633401,0.223304886,1.341141904,0.060150064,17272.50681,44255.65374,26708.21439,0.070555688,8.077649921,5.606121089,8.256091165,7.403539084,8.517846308,6.419361578,9.584787167,8.413573345,4.517484284,8.457388097,4.918406019,8.205306976,5.269226542,7.448747162,4.569791211,7.97517067,4.492309413,I型
2.186830293,0.321936468,3.020193208,0.063541405,1492.818841,11211.13897,8639.358595,0.248269461,7.250971348,5.171603659,6.563461341,6.639847843,7.544948604,5.262641658,8.455279743,6.877511073,2.99350052,6.820737621,2.925009204,6.061978167,3.113476807,5.189793151,2.108247737,5.526720807,2.269679312,I型
1.619992976,0.293373486,2.629543681,0.028963798,8892.242194,55920.63409,42160.72607,0.024179729,6.794216603,4.485236165,8.206093907,8.124329576,9.116955105,6.848207135,10.0326692,8.601249016,3.900221801,8.466740203,4.625881322,7.794943899,4.803296238,6.858212299,3.842139824,7.311233868,3.889588524,I型
0.41896325,0.158644045,2.04655216,0.004507385,22015.03597,79084.219,47032.05017,0.003396236,7.755758046,3.477007938,9.16071243,7.678482131,8.942549157,6.913270728,10.20160527,9.072465501,2.588035413,9.122632821,5.484213777,8.72843447,5.724453159,7.773883644,4.796013267,8.217780308,4.672347863,I型
6.851233018,0.731927884,2.190097036,0.144072772,1320.363235,15144.17434,13411.08186,0.312502442,6.79532341,4.968662815,6.130422906,7.659064045,8.35423673,5.745384313,8.653168176,6.699262841,3.532497021,6.376603372,2.293737427,5.656513059,2.763700605,4.76943943,1.937902371,5.403961511,2.097829055,I型
0.146489069,0.078133283,2.910898952,0.058828952,5362.291504,18449.80502,8559.200574,0.045886584,7.679694147,4.786341258,7.866540837,5.215315468,6.754480955,4.924116033,8.44668546,7.85065783,4.009421093,8.062603999,4.512940911,7.669562511,4.576079361,6.569497702,3.457728125,6.805446038,3.237263338,I型
0.187703205,0.099902661,1.826192341,0.008763271,18269.51578,52336.45345,27182.41997,0.019497008,7.309021011,5.033201336,8.969312708,6.689069134,8.093790163,6.218153103,9.674658929,8.75816978,2.944710356,8.822217622,5.227594297,8.440323305,5.446432998,7.565195212,4.576959701,8.031288501,4.54017609,I型
0.191214443,0.104997047,2.481309601,0.004789727,12368.30051,39239.46435,19679.45116,0.012198613,8.670014534,4.132414791,8.537464881,6.317505578,7.7455119,5.844714022,9.253359475,8.664725079,2.251563176,8.738673918,5.206088091,8.313269965,5.195118569,7.213958019,4.226098727,7.641191423,4.112732076,I型
0.242730565,0.140817352,1.979448121,0.004648196,17137.77586,50471.57955,25107.87016,0.005224376,8.248728341,3.677678633,8.9307157,6.882210435,8.292691358,6.264404121,9.524532883,8.634665013,2.251563176,8.838853865,5.294457242,8.549196956,5.52054097,7.572799811,4.607112739,7.967339776,4.550987006,I型
9.85907988,0.574273456,5.868867752,0.093940221,540.6014469,10076.22909,8698.061754,1.637261607,7.698400655,6.184336812,5.689928812,7.130048407,7.624855298,5.213598472,8.366728841,6.67420594,3.122640973,6.469339403,2.420410137,5.412409514,2.376270923,4.368607834,1.197836202,4.510981666,1.140976162,I型
5.926116307,0.322438448,6.95540878,0.17571209,432.8138831,7956.262846,6684.740798,3.998310484,7.943225272,6.96475942,5.577504621,6.398650131,7.209283398,4.981637442,8.212523992,6.659995983,3.720327727,6.416822768,2.386440611,5.369530474,2.263561274,4.224467582,1.02650213,4.28860716,0.820475634,I型
14.41253781,0.509096186,7.42592042,0.097361825,792.2179406,23811.41229,21358.07364,1.763749563,7.176863375,6.774215606,6.205390724,7.891908291,8.662942629,6.190151274,9.249057444,7.449297396,3.876874437,7.086808536,3.073062304,6.045171048,2.924968752,4.873799445,1.640650848,4.893135887,1.404681874,I型
5.033505822,0.38250098,3.51543708,0.146779981,772.4574024,10550.16857,9188.231498,0.907350987,7.590839174,5.757120175,5.852963198,6.814666839,7.797006559,5.405742502,8.457721746,6.646399352,3.494756693,6.313736094,2.293737427,5.324659768,2.293696975,4.424598944,1.378286583,4.86787622,1.484724582,I型
7.760528848,0.424827579,5.689468833,0.07698305,991.7881488,18540.00437,16050.21304,0.55420609,6.675607203,5.691697425,6.280533176,7.497533258,8.213391174,5.862991525,9.035635991,7.368810562,3.574951017,7.045121782,3.042112339,6.045818202,2.966258722,4.947847087,1.787079481,5.117808881,1.697468086,I型
0.875271115,0.167704792,2.66492774,0.099603432,2681.974865,15114.94904,11008.13514,0.188108266,6.157621884,5.316064122,6.985418816,6.310060348,7.577226775,5.510179514,8.777641229,7.37283251,3.924192549,7.281481,3.365321043,6.522364832,3.537629864,5.716706928,2.659220429,6.112608048,2.77791048,I型
4.193310212,0.237661195,6.587893124,0.113342807,902.4727618,15372.31385,12787.07544,1.103913199,6.462127511,6.387578974,6.287334747,6.787602209,7.850413151,5.677746762,8.906542223,7.287501075,3.929282596,7.097367463,3.055321769,6.118746415,3.024059655,5.029557584,1.762698282,5.023437865,1.50753926,I型
6.10958786,0.398240523,4.233288077,0.179732819,549.3654172,8659.540467,7591.779729,1.734973501,5.960871338,6.047107826,5.494732781,6.667596394,7.588154052,5.216731957,8.270326364,6.427510131,3.501106681,6.158738204,2.036422891,5.080685843,2.039610852,4.174439311,1.078025728,4.527063181,1.254948507,I型
4.033084889,0.674290096,2.685375501,0.195816866,886.0685735,6814.988982,5397.386045,0.758739963,7.813575862,5.695014434,5.969727693,6.73029916,7.215306117,4.713305831,7.806424853,6.284687186,3.507303026,6.181610279,2.377480385,5.518760473,2.491153557,4.566155121,1.54419637,5.0050937,1.63762302,I型
3.49620439,0.658966216,2.34212601,0.181347679,1181.411741,8071.846133,6370.501059,0.622472141,7.670308053,5.654785733,6.127459231,6.875116564,7.395281037,4.901647086,7.974230419,6.437653135,3.582679486,6.332519826,2.536762834,5.714167374,2.705900639,4.788240308,1.793169373,5.292764749,1.903423991,I型
2.000818206,0.584865467,1.804657052,0.20218022,1522.265966,7097.008829,5170.610001,0.604805633,8.523186742,5.803205987,6.304671221,6.570484722,7.123067916,4.660507587,7.788888994,6.394542685,3.66287826,6.325321211,2.639344002,5.855405522,2.86076643,4.990927891,2.039552852,5.546254627,2.160509175,I型
4.85962124,0.461632429,3.31910125,0.072190534,2103.788209,24682.78721,20845.18767,0.120877576,6.996475634,4.82576438,6.937358485,7.781428659,8.631624778,6.221981538,9.236445814,7.491999746,3.666253169,7.258184311,3.360569325,6.468693305,3.488838796,5.569078065,2.479220736,5.869794263,2.527259083,I型
5.087376361,0.290094576,7.131238546,0.042781056,1347.309423,23666.62804,19602.29216,0.358532453,6.685528297,5.698623968,6.722977161,7.381600362,8.294088592,6.064988131,9.301179491,7.764814267,3.433290371,7.577345156,3.549353464,6.567232745,3.437919775,5.381918708,2.115450649,5.424164218,1.869986983,I型
0.316243852,0.12716549,2.274992314,0.029467082,7571.878959,27412.43186,15452.02385,0.028685894,7.963714888,4.579317088,8.129283961,6.329928098,7.730415436,5.73584529,9.074224909,8.121489212,3.510024165,8.161168566,4.59632252,7.811178022,4.770235375,6.804145078,3.724888562,7.150495883,3.576588644,I型
7.622344413,0.690529538,4.303909134,0.118129702,1835.035434,24704.61673,21348.59218,0.433672465,7.602806196,5.741852703,6.575935515,8.094876309,8.791193031,6.231865365,9.147203682,7.165193145,4.023119938,7.381338146,2.961566799,6.052675774,3.15658693,5.289720213,2.294577315,5.733118426,2.469392611,I型
2.311335626,0.26885933,4.196080344,0.074120388,2667.672658,25217.00734,19124.07941,0.034312634,8.128226329,4.016313033,7.387171776,7.275760509,8.260292958,6.058067688,9.271358324,7.814004512,4.072881447,7.73010791,3.893125003,7.035838751,4.003884791,6.036387034,2.825205566,6.107261063,2.494925914,I型
0.574234145,0.146884083,3.662864741,0.006401681,6494.031418,34429.2352,20380.82066,0.011177972,7.023762648,3.76469001,8.257117333,6.772893995,7.97626298,5.924536295,9.373036392,8.345416769,2.251563176,8.483879713,4.795173379,7.94932836,4.896386661,6.861303492,3.705564289,6.996938146,3.419584895,I型
0.269249898,0.06097619,6.795319002,0.114296294,3152.70405,21176.39672,11438.74849,0.059839568,7.3505046,4.713770565,7.528475821,5.292873702,6.927427102,5.165791832,8.772176361,8.107668656,4.959613376,8.37924515,4.635543233,7.673266218,4.501971389,6.222223532,2.700042423,6.274315148,3.237263338,I型
3.874822456,0.255910418,5.920852689,0.056407726,555.0914823,8074.471712,6606.767155,0.958390627,6.791999307,5.744541393,5.785658318,6.222606028,7.027406242,4.855636904,8.267564694,6.757685135,2.678137247,6.504608772,2.459251865,5.537166301,-6.916643397,4.530547522,1.18591469,4.537432289,1.120327592,I型
5.189625901,0.455463451,2.696957453,0.121606576,1390.423325,17090.69824,15025.60433,0.521287784,7.648468286,5.708216368,6.358286483,7.432998395,8.366363793,5.908535954,8.901469041,7.012232234,3.657660164,6.636483163,2.65838054,5.678491965,2.725479392,4.878293835,1.937902371,5.455662886,2.193139235,I型
6.092783612,0.410662142,3.786306873,0.160948686,646.7085229,10082.16023,8896.818902,1.711321319,7.384502741,6.214856635,5.676207956,6.827973995,7.81415027,5.36376243,8.39998928,6.552873294,3.489937407,6.210282157,2.188376911,5.169702311,2.215735434,4.289385465,1.170647218,4.690195043,1.404681874,I型
5.278030817,0.339344251,4.700535591,0.143388664,916.1704076,14597.93885,12574.76442,1.697331454,7.297491364,6.698842345,6.168402154,7.03272871,8.065765495,5.691756517,8.79549975,7.05756248,3.900221801,6.774874205,2.794512715,5.798687547,2.731951906,4.806253403,1.696740314,5.038501738,1.627825426,I型
